cereal,Atribut1,Atribut2,Atribut3,Atribut4
Permintaan Penumpang,0.69,0.16,0.15,0
Sosial,0.25,0.75,0,0
Lingkungan,0.972,0.026,0.002,0
Penyebaran penduduk,0.073,0.427,0.5,0
Kegiatan penduduk,0.833,0.167,0,0
Pertanian penduduk,0.143,0.857,0,0
Tata guna lahan,0.65,0.209,0.088,0.053
Jaringan Jalan,0.113,0.419,0.4,0.068
Kemiringan Lahan,0.705,0.211,0.084,0
Kepadatan penduduk,0.095,0.25,0.655,0
Rasio Kelompok Umur,0.625,0.238,0.137,0
Rasio Jenis Kelamin,0.596,0.276,0.128,0
Jumlah Fasilitas Umum,0.002,0.059,0.939,0
Jumlah Lokasi Wisata,0.163,0.297,0.54,0
Total Jumlah Produksi,0.095,0.25,0.655,0
Luas Lahan Panen,0.095,0.25,0.655,0
