Kecamatan,Indeks Permintaan,Kepadatan penduduk (jiwa/km2),Kepadatan fasilitas umum (satuan/km2)
GALUR,2.095995,927.4316063,14.79685468
GIRIMULYO,1.831724,407.1273236,5.91940143
KALIBAWANG,2.796379,517.2788155,8.874002383
KOKAP,1.18819,430.9649794,5.609794104
LENDAH,1.177433,1082.128237,11.35089725
NANGGULAN,1.101689,727.1749477,9.316605524
PANJATAN,1.12062,792.8050358,9.956875963
PENGASIH,2.628887,756.9259982,10.06318829
SAMIGALUH,0.982061,368.5648355,7.186862761
SENTOLO,2.928875,898.3085613,13.8072755
TEMON,1.752157,717.7556908,28.51954622
WATES,1.906703,1463.140264,18.4986126
